2024-12-04 20:03:26,764, INFO, Сервер запущен, <module>, 55, server.py
2024-12-04 20:03:26,765, INFO, ** threaded_referee bs**, sub_func, 73, server.py
2024-12-04 20:03:46,437, INFO, ** __init__ bs**, sub_func, 73, server.py
2024-12-04 20:03:46,438, INFO, ** threaded_player bs**, sub_func, 73, server.py
2024-12-04 20:03:46,438, INFO, ** set_start bs**, sub_func, 73, server.py
2024-12-04 20:03:46,438, INFO, Player 0 is ready!, threaded_player, 283, server.py
2024-12-04 20:03:51,562, INFO, ** __init__ bs**, sub_func, 73, server.py
2024-12-04 20:03:51,564, INFO, ** threaded_player bs**, sub_func, 73, server.py
2024-12-04 20:03:51,565, INFO, ** set_start bs**, sub_func, 73, server.py
2024-12-04 20:03:51,566, INFO, Player 1 is ready!, threaded_player, 283, server.py
2024-12-04 20:03:53,327, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,327, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,331, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,332, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,364, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,364, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,399, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,400, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,431, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,431, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,466, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,468, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,499, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,499, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,532, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,533, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,554, INFO, Referee: game started!, threaded_referee, 265, server.py
2024-12-04 20:03:53,566, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,566, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,600, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,600, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,634, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,636, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,669, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,670, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,702, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,703, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,735, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,736, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,769, INFO, ** get_self_state bs**, sub_func, 73, server.py
2024-12-04 20:03:53,770, INFO, ** get_self_state bs**, sub_func, 73, server.py
